
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.545275
    Epoch 200/3000 - Loss: 0.539115
    Epoch 300/3000 - Loss: 0.525241
    Epoch 400/3000 - Loss: 0.521388
    Epoch 500/3000 - Loss: 0.539930
    Epoch 600/3000 - Loss: 0.512587
    Epoch 700/3000 - Loss: 0.518076
    Epoch 800/3000 - Loss: 0.528083
    Epoch 900/3000 - Loss: 0.524741
    Epoch 1000/3000 - Loss: 0.510167
    Epoch 1100/3000 - Loss: 0.523899
    Epoch 1200/3000 - Loss: 0.501167
    Epoch 1300/3000 - Loss: 0.505362
    Epoch 1400/3000 - Loss: 0.509886
    Epoch 1500/3000 - Loss: 0.498894
    Epoch 1600/3000 - Loss: 0.494902
    Epoch 1700/3000 - Loss: 0.496737
    Epoch 1800/3000 - Loss: 0.495651
    Epoch 1900/3000 - Loss: 0.521835
    Epoch 2000/3000 - Loss: 0.498097
    Epoch 2100/3000 - Loss: 0.502463
    Epoch 2200/3000 - Loss: 0.491612
    Epoch 2300/3000 - Loss: 0.493146
    Epoch 2400/3000 - Loss: 0.489824
    Epoch 2500/3000 - Loss: 0.487406
    Epoch 2600/3000 - Loss: 0.487405
    Epoch 2700/3000 - Loss: 0.485990
    Epoch 2800/3000 - Loss: 0.485578
    Epoch 2900/3000 - Loss: 0.484591
    Epoch 3000/3000 - Loss: 0.484687

>>> Config 2/19: run_1_ly3_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.493656
    Epoch 200/3000 - Loss: 0.466036
    Epoch 300/3000 - Loss: 0.449140
    Epoch 400/3000 - Loss: 0.446036
    Epoch 500/3000 - Loss: 0.435796
    Epoch 600/3000 - Loss: 0.448252
    Epoch 700/3000 - Loss: 0.431668
    Epoch 800/3000 - Loss: 0.428007
    Epoch 900/3000 - Loss: 0.430826
    Epoch 1000/3000 - Loss: 0.448814
    Epoch 1100/3000 - Loss: 0.437010
    Epoch 1200/3000 - Loss: 0.426748
    Epoch 1300/3000 - Loss: 0.410611
    Epoch 1400/3000 - Loss: 0.407553
    Epoch 1500/3000 - Loss: 0.419786
    Epoch 1600/3000 - Loss: 0.409969
    Epoch 1700/3000 - Loss: 0.409288
    Epoch 1800/3000 - Loss: 0.403001
    Epoch 1900/3000 - Loss: 0.398889
    Epoch 2000/3000 - Loss: 0.397157
    Epoch 2100/3000 - Loss: 0.397581
    Epoch 2200/3000 - Loss: 0.391721
    Epoch 2300/3000 - Loss: 0.390849
    Epoch 2400/3000 - Loss: 0.390222
    Epoch 2500/3000 - Loss: 0.388015
    Epoch 2600/3000 - Loss: 0.387374
    Epoch 2700/3000 - Loss: 0.386852
    Epoch 2800/3000 - Loss: 0.386291
    Epoch 2900/3000 - Loss: 0.385135
    Epoch 3000/3000 - Loss: 0.385107

>>> Config 3/19: run_2_ly4_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.455273
    Epoch 200/3000 - Loss: 0.445755
    Epoch 300/3000 - Loss: 0.435519
    Epoch 400/3000 - Loss: 0.432519
    Epoch 500/3000 - Loss: 0.406937
