num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run
3,0.001,16,adam,128,0.515625,1000
3,0.001,32,adam,128,0.515625,1000
3,0.001,64,adam,128,0.5390625,1000
3,0.01,16,adam,128,0.46875,1000
3,0.01,32,adam,128,0.5,1000
3,0.01,64,adam,128,0.4921875,1000
3,0.05,16,adam,128,0.484375,1000
3,0.05,32,adam,128,0.4453125,1000
3,0.05,64,adam,128,0.484375,1000
3,0.1,16,adam,128,0.5625,1000
3,0.1,32,adam,128,0.453125,1000
3,0.1,64,adam,128,0.46875,1000
5,0.001,16,adam,128,0.4375,1000
5,0.001,32,adam,128,0.421875,1000
5,0.001,64,adam,128,0.4296875,1000
5,0.01,16,adam,128,0.4765625,1000
5,0.01,32,adam,128,0.5234375,1000
5,0.01,64,adam,128,0.4296875,1000
5,0.05,16,adam,128,0.5078125,1000
5,0.05,32,adam,128,0.4765625,1000
5,0.05,64,adam,128,0.5078125,1000
5,0.1,16,adam,128,0.4453125,1000
5,0.1,32,adam,128,0.4375,1000
5,0.1,64,adam,128,0.4296875,1000
7,0.001,16,adam,128,0.5390625,1000
7,0.001,32,adam,128,0.5,1000
7,0.001,64,adam,128,0.4765625,1000
7,0.01,16,adam,128,0.46875,1000
7,0.01,32,adam,128,0.46875,1000
7,0.01,64,adam,128,0.5,1000
7,0.05,16,adam,128,0.5078125,1000
7,0.05,32,adam,128,0.5078125,1000
7,0.05,64,adam,128,0.4609375,1000
7,0.1,16,adam,128,0.453125,1000
7,0.1,32,adam,128,0.4921875,1000
7,0.1,64,adam,128,0.4921875,1000
10,0.001,16,adam,128,0.546875,1000
10,0.001,32,adam,128,0.4765625,1000
10,0.001,64,adam,128,0.4921875,1000
10,0.01,16,adam,128,0.484375,1000
10,0.01,32,adam,128,0.53125,1000
10,0.01,64,adam,128,0.5390625,1000
10,0.05,16,adam,128,0.46875,1000
10,0.05,32,adam,128,0.5078125,1000
10,0.05,64,adam,128,0.53125,1000
10,0.1,16,adam,128,0.4765625,1000
10,0.1,32,adam,128,0.5078125,1000
10,0.1,64,adam,128,0.484375,1000
15,0.001,16,adam,128,0.4765625,1000
15,0.001,32,adam,128,0.4921875,1000
15,0.001,64,adam,128,0.4609375,1000
15,0.01,16,adam,128,0.5078125,1000
15,0.01,32,adam,128,0.5,1000
15,0.01,64,adam,128,0.4921875,1000
15,0.05,16,adam,128,0.5390625,1000
15,0.05,32,adam,128,0.5234375,1000
15,0.05,64,adam,128,0.5390625,1000
15,0.1,16,adam,128,0.5,1000
15,0.1,32,adam,128,0.5234375,1000
15,0.1,64,adam,128,0.515625,1000
20,0.001,16,adam,128,0.5546875,1000
20,0.001,32,adam,128,0.609375,1000
20,0.001,64,adam,128,0.5859375,1000
20,0.01,16,adam,128,0.53125,1000
20,0.01,32,adam,128,0.5546875,1000
20,0.01,64,adam,128,0.546875,1000
20,0.05,16,adam,128,0.625,1000
20,0.05,32,adam,128,0.578125,1000
20,0.05,64,adam,128,0.5703125,1000
20,0.1,16,adam,128,0.5625,1000
20,0.1,32,adam,128,0.5234375,1000
20,0.1,64,adam,128,0.609375,1000
