
>>> Config 1/72: run_0_ly3_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.692845
    Epoch 200/1000 - Loss: 0.692491
    Epoch 300/1000 - Loss: 0.692176
    Epoch 400/1000 - Loss: 0.691905
    Epoch 500/1000 - Loss: 0.691688
    Epoch 600/1000 - Loss: 0.691534
    Epoch 700/1000 - Loss: 0.691423
    Epoch 800/1000 - Loss: 0.691375
    Epoch 900/1000 - Loss: 0.691351
    Epoch 1000/1000 - Loss: 0.691341

>>> Config 2/72: run_1_ly3_lr0.001_bs32
    Epoch 100/1000 - Loss: 0.692950
    Epoch 200/1000 - Loss: 0.692721
    Epoch 300/1000 - Loss: 0.692512
    Epoch 400/1000 - Loss: 0.692330
    Epoch 500/1000 - Loss: 0.692192
    Epoch 600/1000 - Loss: 0.692083
    Epoch 700/1000 - Loss: 0.692014
    Epoch 800/1000 - Loss: 0.691971
    Epoch 900/1000 - Loss: 0.691964
    Epoch 1000/1000 - Loss: 0.691952

>>> Config 3/72: run_2_ly3_lr0.001_bs64
    Epoch 100/1000 - Loss: 0.693021
    Epoch 200/1000 - Loss: 0.692876
    Epoch 300/1000 - Loss: 0.692735
    Epoch 400/1000 - Loss: 0.692621
    Epoch 500/1000 - Loss: 0.692530
    Epoch 600/1000 - Loss: 0.692465
    Epoch 700/1000 - Loss: 0.692417
    Epoch 800/1000 - Loss: 0.692395
    Epoch 900/1000 - Loss: 0.692389
    Epoch 1000/1000 - Loss: 0.692387

>>> Config 4/72: run_3_ly3_lr0.01_bs16
    Epoch 100/1000 - Loss: 0.689854
    Epoch 200/1000 - Loss: 0.686785
    Epoch 300/1000 - Loss: 0.684272
    Epoch 400/1000 - Loss: 0.681910
    Epoch 500/1000 - Loss: 0.680039
    Epoch 600/1000 - Loss: 0.678217
    Epoch 700/1000 - Loss: 0.676958
    Epoch 800/1000 - Loss: 0.676308
    Epoch 900/1000 - Loss: 0.676005
    Epoch 1000/1000 - Loss: 0.675812

>>> Config 5/72: run_4_ly3_lr0.01_bs32
    Epoch 100/1000 - Loss: 0.690768
    Epoch 200/1000 - Loss: 0.688540
    Epoch 300/1000 - Loss: 0.686444
    Epoch 400/1000 - Loss: 0.684641
    Epoch 500/1000 - Loss: 0.683114
    Epoch 600/1000 - Loss: 0.681970
    Epoch 700/1000 - Loss: 0.681040
    Epoch 800/1000 - Loss: 0.680556
    Epoch 900/1000 - Loss: 0.680353
    Epoch 1000/1000 - Loss: 0.680235

>>> Config 6/72: run_5_ly3_lr0.01_bs64
    Epoch 100/1000 - Loss: 0.691527
    Epoch 200/1000 - Loss: 0.690026
