Loaded train=174, val=36, test=38
Epoch 1/500: loss = 0.6927
Epoch 2/500: loss = 0.6898
Epoch 3/500: loss = 0.6868
Epoch 4/500: loss = 0.6803
Epoch 5/500: loss = 0.6733
Epoch 6/500: loss = 0.6656
Epoch 7/500: loss = 0.6571
Epoch 8/500: loss = 0.6494
Epoch 9/500: loss = 0.6404
Epoch 10/500: loss = 0.6331
  Eval → acc=0.694, f1=0.667, auc=0.790
Epoch 11/500: loss = 0.6243
Epoch 12/500: loss = 0.6178
Epoch 13/500: loss = 0.6100
Epoch 14/500: loss = 0.6007
Epoch 15/500: loss = 0.5946
Epoch 16/500: loss = 0.5870
Epoch 17/500: loss = 0.5800
Epoch 18/500: loss = 0.5760
Epoch 19/500: loss = 0.5695
Epoch 20/500: loss = 0.5616
  Eval → acc=0.722, f1=0.706, auc=0.827
Epoch 21/500: loss = 0.5563
Epoch 22/500: loss = 0.5526
Epoch 23/500: loss = 0.5463
Epoch 24/500: loss = 0.5456
Epoch 25/500: loss = 0.5371
Epoch 26/500: loss = 0.5308
Epoch 27/500: loss = 0.5260
Epoch 28/500: loss = 0.5271
Epoch 29/500: loss = 0.5187
Epoch 30/500: loss = 0.5232
  Eval → acc=0.750, f1=0.757, auc=0.861
Epoch 31/500: loss = 0.5163
Epoch 32/500: loss = 0.5138
Epoch 33/500: loss = 0.5046
Epoch 34/500: loss = 0.4983
Epoch 35/500: loss = 0.4975
Epoch 36/500: loss = 0.4925
Epoch 37/500: loss = 0.4892
Epoch 38/500: loss = 0.4828
Epoch 39/500: loss = 0.4812
Epoch 40/500: loss = 0.4765
  Eval → acc=0.750, f1=0.743, auc=0.889
Epoch 41/500: loss = 0.4726
Epoch 42/500: loss = 0.4702
Epoch 43/500: loss = 0.4706
Epoch 44/500: loss = 0.4645
Epoch 45/500: loss = 0.4626
Epoch 46/500: loss = 0.4644
Epoch 47/500: loss = 0.4599
Epoch 48/500: loss = 0.4501
Epoch 49/500: loss = 0.4500
Epoch 50/500: loss = 0.4500
  Eval → acc=0.778, f1=0.778, auc=0.898
Epoch 51/500: loss = 0.4432
Epoch 52/500: loss = 0.4384
Epoch 53/500: loss = 0.4381
Epoch 54/500: loss = 0.4317
Epoch 55/500: loss = 0.4312
Epoch 56/500: loss = 0.4337
Epoch 57/500: loss = 0.4266
Epoch 58/500: loss = 0.4235
Epoch 59/500: loss = 0.4271
Epoch 60/500: loss = 0.4222
  Eval → acc=0.778, f1=0.778, auc=0.898
Epoch 61/500: loss = 0.4240
Epoch 62/500: loss = 0.4175
Epoch 63/500: loss = 0.4086
Epoch 64/500: loss = 0.4110
Epoch 65/500: loss = 0.4021
Epoch 66/500: loss = 0.3983
Epoch 67/500: loss = 0.3964
Epoch 68/500: loss = 0.3970
Epoch 69/500: loss = 0.3880
Epoch 70/500: loss = 0.3888
  Eval → acc=0.806, f1=0.800, auc=0.914
Epoch 71/500: loss = 0.3896
Epoch 72/500: loss = 0.3860
Epoch 73/500: loss = 0.3844
Epoch 74/500: loss = 0.3819
Epoch 75/500: loss = 0.3760
Epoch 76/500: loss = 0.3749
Epoch 77/500: loss = 0.3778
Epoch 78/500: loss = 0.3773
Epoch 79/500: loss = 0.3761
Epoch 80/500: loss = 0.3681
  Eval → acc=0.861, f1=0.865, auc=0.920
Epoch 81/500: loss = 0.3660
Epoch 82/500: loss = 0.3666
Epoch 83/500: loss = 0.3575
Epoch 84/500: loss = 0.3607
Epoch 85/500: loss = 0.3564
Epoch 86/500: loss = 0.3543
Epoch 87/500: loss = 0.3525
Epoch 88/500: loss = 0.3501
Epoch 89/500: loss = 0.3490
Epoch 90/500: loss = 0.3484
  Eval → acc=0.806, f1=0.788, auc=0.917
Epoch 91/500: loss = 0.3428
Epoch 92/500: loss = 0.3407
Epoch 93/500: loss = 0.3424
Epoch 94/500: loss = 0.3408
Epoch 95/500: loss = 0.3390
Epoch 96/500: loss = 0.3425
Epoch 97/500: loss = 0.3373
Epoch 98/500: loss = 0.3323
Epoch 99/500: loss = 0.3342
Epoch 100/500: loss = 0.3294
  Eval → acc=0.833, f1=0.824, auc=0.920
