num_layers,lr,batch_size,img_size,test_accuracy,epochs_run
1,0.05,32,64,0.8828125,5000
2,0.05,32,64,0.9140625,5000
3,0.05,32,64,0.90625,5000
4,0.05,32,64,0.921875,5000
5,0.05,32,64,0.921875,5000
6,0.05,32,64,0.953125,5000
7,0.05,32,64,0.953125,5000
8,0.05,32,64,0.9296875,5000
9,0.05,32,64,0.9296875,5000
10,0.05,32,64,0.9375,5000
11,0.05,32,64,0.953125,5000
12,0.05,32,64,0.9453125,5000
13,0.05,32,64,0.9453125,5000
14,0.05,32,64,0.9296875,5000
15,0.05,32,64,0.9609375,5000
16,0.05,32,64,0.9296875,5000
17,0.05,32,64,0.9453125,5000
18,0.05,32,64,0.875,5000
19,0.05,32,64,0.90625,5000
20,0.05,32,64,0.8828125,5000
